City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hamilton,US,2021-06-02 15:28:13,39.1834,-84.5333,66.07,96,90,1.99
68,Biak,ID,2021-06-02 15:31:33,-0.9131,122.8766,76.14,81,100,6.08
69,Taoudenni,ML,2021-06-02 15:31:33,22.6783,-3.9836,113.38,7,46,8.43
70,Yamada,JP,2021-06-02 15:31:34,39.4667,141.95,59.77,92,5,3.98
71,Kaitangata,NZ,2021-06-02 15:31:34,-46.2817,169.8464,42.24,93,12,6.02
72,Leningradskiy,RU,2021-06-02 15:31:34,69.3833,178.4167,23.63,96,60,8.79
73,Tutoia,BR,2021-06-02 15:31:35,-2.7619,-42.2744,89.58,64,19,11.12
74,Kavaratti,IN,2021-06-02 15:31:35,10.5669,72.642,83.97,76,11,16.84
75,Pevek,RU,2021-06-02 15:31:35,69.7008,170.3133,29.46,74,11,2.77
76,Torbay,CA,2021-06-02 15:31:36,47.6666,-52.7314,70.88,53,1,21.85
77,Upernavik,GL,2021-06-02 15:31:36,72.7868,-56.1549,31.44,80,40,7.09
78,Acapulco,MX,2021-06-02 15:28:41,16.8634,-99.8901,85.82,70,75,0.72
79,Mataura,NZ,2021-06-02 15:31:36,-46.1927,168.8643,49.48,97,18,3.4
80,Faanui,PF,2021-06-02 15:31:37,-16.4833,-151.75,80.1,71,42,13.91
81,Kyshtovka,RU,2021-06-02 15:31:37,56.555,76.6271,54.64,62,7,6.73
82,Alice Springs,AU,2021-06-02 15:31:14,-23.7,133.8833,53.15,58,71,7.9
83,Codrington,AU,2021-06-02 15:31:38,-38.2667,141.9667,49.57,81,72,7.31
84,Slave Lake,CA,2021-06-02 15:31:38,55.2834,-114.769,60.78,72,20,6.91
85,Camana,PE,2021-06-02 15:31:38,-16.6228,-72.7111,67.89,76,49,6.89
86,Kapaa,US,2021-06-02 15:30:25,22.0752,-159.319,75.52,79,20,10.63
87,Fatezh,RU,2021-06-02 15:31:39,52.0891,35.8632,67.98,72,73,16.26
88,Takoradi,GH,2021-06-02 15:31:39,4.8845,-1.7554,84.11,71,71,9.95
89,Svetlaya,RU,2021-06-02 15:31:39,46.5389,138.3297,49.03,86,97,3.71
90,San Nicolas,PH,2021-06-02 15:31:40,18.1725,120.5953,85.91,74,40,0.0
91,Lebu,CL,2021-06-02 15:31:40,-37.6167,-73.65,55.49,83,49,4.61
92,Severo-Yeniseyskiy,RU,2021-06-02 15:31:40,60.3725,93.0408,54.72,87,99,2.28
93,Parker,US,2021-06-02 15:30:38,32.7668,-97.8003,73.72,88,68,1.12
94,New Norfolk,AU,2021-06-02 15:31:41,-42.7826,147.0587,50.72,78,100,1.01
95,East London,ZA,2021-06-02 15:31:41,-33.0153,27.9116,63.54,82,20,16.11
96,The Valley,AI,2021-06-02 15:31:41,18.217,-63.0578,85.86,69,40,14.97
97,Talnakh,RU,2021-06-02 15:31:42,69.4865,88.3972,34.39,96,96,10.4
98,Thompson,CA,2021-06-02 15:31:42,55.7435,-97.8558,68.16,56,40,12.66
99,Geraldton,AU,2021-06-02 15:31:42,-28.7667,114.6,55.13,87,0,9.31
100,Ugoofaaru,MV,2021-06-02 15:31:43,5.6667,73.0,83.53,74,87,17.96
101,Turukhansk,RU,2021-06-02 15:31:43,65.8167,87.9833,43.72,73,97,9.08
